"method","rates","atoll","site","depth","transect","coralg","lower.ci","upper.ci"
"ReefBudget","chagos_v2_wo_bio_rb","EG","Lubine","10m","T1",4.89583454480664,2.204632180323,7.94663093861494
"ReefBudget","chagos_v2_wo_bio_rb","EG","Lubine","10m","T2",4.83323823712368,2.13157563544624,7.94509194618654
"ReefBudget","chagos_v2_wo_bio_rb","EG","Lubine","10m","T3",4.80900997925331,2.11662113428206,7.88745667263121
"ReefBudget","chagos_v2_wo_bio_rb","EG","Middle","10m","T1",10.3147999036826,6.56126765195029,14.5253875211826
"ReefBudget","chagos_v2_wo_bio_rb","EG","Middle","10m","T2",4.48697421774675,2.42083533012026,6.85076717471851
"ReefBudget","chagos_v2_wo_bio_rb","EG","Middle","10m","T3",6.65287145848924,3.46744008143791,10.3179360410597
"ReefBudget","chagos_v2_wo_bio_rb","EG","North","10m","T1",9.46092739644962,5.93123677977681,13.3684162275929
"ReefBudget","chagos_v2_wo_bio_rb","EG","North","10m","T2",13.1618078588423,8.54590662981354,18.3284175777235
"ReefBudget","chagos_v2_wo_bio_rb","EG","North","10m","T3",6.5007744065443,3.79158910476712,9.47138179750413
"ReefBudget","chagos_v2_wo_bio_rb","EG","Tattamucca","10m","T1",8.43114684368494,5.04781324617842,12.1108471680098
"ReefBudget","chagos_v2_wo_bio_rb","EG","Tattamucca","10m","T2",5.47391285527742,3.29600291492757,7.84602226909915
"ReefBudget","chagos_v2_wo_bio_rb","EG","Tattamucca","10m","T3",11.746943459075,7.07159948348199,16.8429798299193
"ReefBudget","chagos_v2_wo_bio_rb","GCB","MidBroCh","10m","T1",2.35721349741525,1.42228621406088,3.40459053375105
"ReefBudget","chagos_v2_wo_bio_rb","GCB","MidBroCh","10m","T2",1.67995571438983,0.782361228899954,2.69330210575558
"ReefBudget","chagos_v2_wo_bio_rb","GCB","MidBroCh","10m","T3",1.03773331022143,0.492873231373967,1.67091958016675
"ReefBudget","chagos_v2_wo_bio_rb","GCB","MidBroDr","10m","T1",3.5656750432197,2.12329644571554,5.18498524010721
"ReefBudget","chagos_v2_wo_bio_rb","GCB","MidBroDr","10m","T2",1.83428605326251,0.997646923687971,2.77033456154439
"ReefBudget","chagos_v2_wo_bio_rb","GCB","MidBroDr","10m","T3",3.08231392805849,1.68470226284849,4.67873679604041
"ReefBudget","chagos_v2_wo_bio_rb","GCB","NorthBro","10m","T1",2.09062019400917,1.40103014545184,2.83041958591297
"ReefBudget","chagos_v2_wo_bio_rb","GCB","NorthBro","10m","T2",1.20952596910815,0.711048343354723,1.77549652678022
"ReefBudget","chagos_v2_wo_bio_rb","GCB","NorthBro","10m","T3",2.1842222818296,1.22247076198774,3.25980186635707
"ReefBudget","chagos_v2_wo_bio_rb","GCB","SouthBro","10m","T1",2.74362411079693,1.36495022422239,4.32949403045509
"ReefBudget","chagos_v2_wo_bio_rb","GCB","SouthBro","10m","T2",3.62895650050872,1.80822172991954,5.6970070376471
"ReefBudget","chagos_v2_wo_bio_rb","GCB","SouthBro","10m","T3",4.2308811310383,2.02855625411629,6.74305984054372
"ReefBudget","chagos_v2_wo_bio_rb","PB","Diamant","10m","T1",7.57018124072159,4.02954240067142,11.5867314101287
"ReefBudget","chagos_v2_wo_bio_rb","PB","Diamant","10m","T2",5.95372976655538,3.04470887756928,9.3320505578258
"ReefBudget","chagos_v2_wo_bio_rb","PB","Diamant","10m","T3",19.7577353479853,13.6203813638513,26.1147964614389
"ReefBudget","chagos_v2_wo_bio_rb","PB","Poule","10m","T1",3.19328770753819,1.90088041983597,5.05201416051863
"ReefBudget","chagos_v2_wo_bio_rb","PB","Poule","10m","T2",4.46438573135016,2.83625617162635,6.28271072648174
"ReefBudget","chagos_v2_wo_bio_rb","PB","Poule","10m","T3",6.2836334823767,3.31446711706034,9.58782028210855
"ReefBudget","chagos_v2_wo_bio_rb","PB","PtiCoq","10m","T1",2.61234561589642,1.38407360999841,4.02484779201988
"ReefBudget","chagos_v2_wo_bio_rb","PB","PtiCoq","10m","T2",3.07709669856288,1.88261221844782,4.40180909023212
"ReefBudget","chagos_v2_wo_bio_rb","PB","PtiCoq","10m","T3",6.74502127832084,4.86034294069572,8.79657700076264
"ReefBudget","chagos_v2_wo_bio_rb","PB","Yeye","10m","T1",4.3001746660461,2.72748190540444,6.07117292271702
"ReefBudget","chagos_v2_wo_bio_rb","PB","Yeye","10m","T2",3.92239711394007,2.56630683988942,5.40202520396372
"ReefBudget","chagos_v2_wo_bio_rb","PB","Yeye","10m","T3",5.08353809746439,2.9872765521939,7.45200381687393
"ReefBudget","chagos_v2_wo_bio_rb","SA","AngMid","10m","T1",14.1236551733554,11.6173595957495,16.7694969301127
"ReefBudget","chagos_v2_wo_bio_rb","SA","AngMid","10m","T2",8.73832982123907,6.17135471858464,11.4840372428145
"ReefBudget","chagos_v2_wo_bio_rb","SA","AngMid","10m","T3",8.06908455419901,6.41235927783312,9.78583365688053
"ReefBudget","chagos_v2_wo_bio_rb","SA","AngSTip","10m","T1",8.41598300485262,6.0626031312182,11.0003352358498
"ReefBudget","chagos_v2_wo_bio_rb","SA","AngSTip","10m","T2",15.8350528169561,12.9002041614569,19.0275179936207
"ReefBudget","chagos_v2_wo_bio_rb","SA","AngSTip","10m","T3",9.27318425475737,7.04890280809042,11.6757624128305
"ReefBudget","chagos_v2_wo_bio_rb","SA","Passe","10m","T1",4.08452279804201,2.10809299244148,6.34211847714629
"ReefBudget","chagos_v2_wo_bio_rb","SA","Passe","10m","T2",6.27019444170858,3.78296133770175,8.9928052638774
"ReefBudget","chagos_v2_wo_bio_rb","SA","Passe","10m","T3",5.71519389337891,3.17954150150337,8.5764275653789
"ReefBudget","chagos_v2_wo_bio_rb","SA","Takamaka","10m","T1",3.84674214328043,2.39279903482597,5.51713893983509
"ReefBudget","chagos_v2_wo_bio_rb","SA","Takamaka","10m","T2",4.88339740861126,2.93401513787141,7.06631753690365
"ReefBudget","chagos_v2_wo_bio_rb","SA","Takamaka","10m","T3",7.05341246754129,4.59501441519099,9.81873385541388
