"Totalg","lower.ci.total","upper.ci.total","MicroBE","MacroBE","Rugosity","Transect.length","Coralg","lower.ci.coral","upper.ci.coral","CCAg","lower.ci.cca","upper.ci.cca","Netg","depth","site","transect"
0.40766908153702,0.300360787482525,0.515240850038788,0.0816494845360825,0.00622050309278351,1.83092783505155,9.7,0.125877628573102,0.117224864698059,0.134793866895418,0.281791452963917,0.183135922784465,0.38044698314337,0.319799093908154,"5m","Atravesado","T051"
0.270568963414634,0.175842440466497,0.365295486362772,0.163024390243902,0.0011753,2.05243902439024,8.2,0,9.71445146547012e-17,4.44089209850063e-16,0.270568963414634,0.175842440466497,0.365295486362772,0.106369273170732,"5m","Atravesado","T006"
0.153750250218531,0.121944301050607,0.185720026446621,0.240230769230769,0.000725226923076923,1.52307692307692,10.4,0.0782700639204545,0.0728898197161012,0.0838141351849722,0.0754801862980769,0.0490544813345055,0.101905891261648,-0.0872057459353147,"5m","Atravesado","T079"
0.206065063131313,0.133921434072113,0.278208692190514,0.0574545454545455,0.00107929393939394,1.39393939393939,9.9,0,-1.38777878078145e-17,-2.77555756156289e-17,0.206065063131313,0.133921434072113,0.278208692190514,0.147531223737374,"5m","Atravesado","T073"
0.210633988273453,0.136890772968797,0.284377203578109,0.103952095808383,0.00238364670658683,1.36826347305389,10.02,-6.93889390390723e-18,-6.93889390390723e-18,1.38777878078145e-17,0.210633988273453,0.136890772968797,0.284377203578109,0.104298245758483,"5m","Atravesado","T077"
0.323671173174603,0.215875261332581,0.431467085016626,0.0594285714285714,0.000399066666666667,1.71957671957672,9.45,0.0157718940740741,0.0157718940740741,0.0157718940740741,0.307899279100529,0.200103367258507,0.415695190942552,0.263843535079365,"5m","Atravesado","T053"
1.33910123659324,1.20960171146759,1.47081655937887,0.183461538461538,0.000483484615384615,1.55673076923077,10.4,1.29638939464612,1.18184333729926,1.41315124965296,0.0427118419471155,0.027758374168328,0.0576653097259028,1.15515621351631,"5m","El Palo","T018"
1.03962248292427,0.906924179889867,1.17428929835571,0.146307692307692,0.000483484615384615,1.21826923076923,10.4,0.962108399390616,0.856547871214013,1.06963743996425,0.0775140835336539,0.0503763086758545,0.104651858391453,0.892831306001193,"5m","El Palo","T033"
0.19024832683175,0.157825870282467,0.222925082101288,0.173373134328358,0.000250161194029851,1.24676616915423,10.05,0.121493830563094,0.1131424067235,0.130099553122942,0.0687544962686567,0.0446834635589669,0.0928255289783466,0.0166250313093623,"5m","El Palo","T001"
0.785503968002649,0.714462226757092,0.85723072253947,0.168727272727273,0.000603134848484848,1.34040404040404,9.9,0.694578945906689,0.655370165409604,0.734472739695038,0.0909250220959595,0.0590920613474876,0.122757982844432,0.616173560426891,"5m","El Palo","T084"
0.446148058910063,0.371629557011656,0.523016359218757,0.189818181818182,0.000285695454545454,1.22222222222222,9.9,0.432378734415114,0.362680889757989,0.504426377482524,0.0137693244949495,0.0089486672536665,0.0185899817362325,0.256044181637336,"5m","El Palo","T066"
0.172364908380682,0.148282967629795,0.196716617690638,0.26712,0.000230461,1.498,10,0.128884705255682,0.120025236465846,0.138013942604587,0.043480203125,0.0282577311639487,0.0587026750860513,-0.0949855526193182,"5m","El Palo","T017"
0.114261256825314,0.0781819908032491,0.150340522847379,0.119497907949791,0.000802098953974895,1.48430962343096,9.56,0.0127271400627617,0.0121950917265172,0.013259188399006,0.101534116762552,0.0659868990767319,0.137081334448373,-0.0060387500784517,"5m","Laurel","T061"
0.384707843361337,0.320949883960753,0.448985711026476,0.119315589353612,0.00227035551330798,1.2851711026616,10.52,0.25356572418358,0.235720780100729,0.271930576530987,0.131142119177757,0.085229103860024,0.177055134495489,0.263121898494417,"5m","Laurel","T094"
0.191925672447786,0.142926643455909,0.24106005268098,0.0745853193517636,0.00395452621544328,1.21734985700667,10.49,0.0646654484249068,0.0602203785388825,0.0692458695522492,0.127260224022879,0.082706264917027,0.171814183128731,0.113385826880579,"5m","Laurel","T031"
1.12799533757918,0.973283029804779,1.28551878293819,0.218558375634518,0.00363717868020305,1.61015228426396,9.85,1.06786631473654,0.934205250941752,1.20433851611594,0.0601290228426397,0.0390777788630268,0.0811802668222523,0.905799783264455,"5m","Laurel","T030"
0.273001120339388,0.177423096295786,0.36857914438299,0.061491395793499,0.00231342304015296,1.70458891013384,10.46,1.38777878078145e-17,-6.93889390390723e-18,-1.38777878078145e-17,0.273001120339388,0.177423096295786,0.36857914438299,0.209196301505736,"5m","Laurel","T027"
0.679826469368404,0.536205680296958,0.824683030609422,0.0679024390243902,0.00421575,1.41463414634146,8.2,0.447664541014746,0.385323925235664,0.511240928963399,0.232161928353659,0.150881755061295,0.313442101646022,0.607708280344014,"5m","Laurel","T095"
0.688303114588276,0.612415498913508,0.765392220562909,0.14424,0.002220806,1.103,10,0.644352855213275,0.583852278764003,0.706054921962414,0.0439502593750001,0.0285632201495049,0.0593372986004952,0.541842308588276,"5m","San Cristobal","T010"
0.593406894225219,0.530660989496789,0.656366844358886,0.0605427135678392,0.00243200050251256,1.1427135678392,9.95,0.471995380406123,0.451755794232523,0.49244901198496,0.121411513819095,0.0789051952642651,0.163917832373926,0.530432180154867,"5m","San Cristobal","T030"
0.90219892387305,0.793395665330652,1.01237125197388,0.126776470588235,0.00283454705882353,1.23647058823529,8.5,0.797404030490697,0.725289591491946,0.870887539047876,0.104794893382353,0.0681060738387063,0.141483712926,0.772587906225991,"5m","San Cristobal","T040"
